individual_tree_id;species_id;method;year_monitored;branching;canopy_size;height;health;years_after_planting
1361;284;PowerCoat;2018;NA;nan;86;3;0
1754;283;Mycorrhiza;2018;NA;nan;66;2;0
1745;283;Mycorrhiza;2018;NA;nan;66;1;0
1398;283;Mycorrhiza;2018;NA;nan;48;3;0
1397;283;Mycorrhiza;2018;NA;nan;46;3;0
1396;283;Mycorrhiza;2018;NA;nan;66;3;0
1725;281;Mycorrhiza;2018;NA;nan;40;3;0
1395;280;Mycorrhiza;2018;NA;nan;72;2;0
1757;280;Fencing;2018;NA;nan;52;3;0
1402;283;Mycorrhiza;2018;NA;nan;66;2;0
1753;280;Fencing;2018;NA;nan;38;3;0
1401;280;Mycorrhiza;2018;NA;nan;70;2;0
1726;285;Fencing;2018;NA;nan;42;3;0
1406;283;Mycorrhiza;2018;NA;nan;78;2;0
1734;280;Fencing;2018;NA;nan;72;3;0
1405;280;Mycorrhiza;2018;NA;nan;56;2;0
1404;280;Mycorrhiza;2018;NA;nan;66;2;0
1403;280;Mycorrhiza;2018;NA;nan;72;0;0
1727;280;Fencing;2018;NA;nan;38;2;0
1731;280;Fencing;2018;NA;nan;54;3;0
1409;285;Mycorrhiza;2018;NA;nan;46;2;0
1408;285;Mycorrhiza;2018;NA;nan;46;1;0
1407;281;Mycorrhiza;2018;NA;nan;44;2;0
1414;285;Mycorrhiza;2018;NA;nan;48;3;0
1413;285;Mycorrhiza;2018;NA;nan;40;2;0
1411;285;Mycorrhiza;2018;NA;nan;54;2;0
1417;285;Mycorrhiza;2018;NA;nan;54;3;0
889;283;Fencing;2018;NA;nan;78;3;0
